Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",43.000000,-18.000000,0.000000,top
"C2","22uF","C_0805_2012Metric",62.500000,-20.500000,0.000000,top
"C3","22uF","C_0805_2012Metric",68.000000,-20.500000,0.000000,top
"C4","22uF","C_0805_2012Metric",28.500000,-20.000000,0.000000,top
"C5","4.7uF","C_0805_2012Metric",24.000000,-37.000000,0.000000,top
"C6","4.7uF","C_0805_2012Metric",28.000000,-37.000000,0.000000,top
"C7","100nF","C_0603_1608Metric",36.000000,-37.000000,0.000000,top
"C8","100nF","C_0603_1608Metric",52.000000,-37.000000,0.000000,top
"C9","1uF","C_0603_1608Metric",6.000000,-31.500000,90.000000,top
"C10","100uF","CP_Elec_6.3x5.8",16.500000,-33.500000,0.000000,top
"C12","100nF","C_0603_1608Metric",27.500000,-16.500000,0.000000,top
"C13","100nF","C_0603_1608Metric",18.300000,-39.500000,0.000000,top
"C14","100nF","C_0603_1608Metric",14.800000,-52.000000,0.000000,top
"C15","100nF","C_0603_1608Metric",72.500000,-50.000000,0.000000,top
"C16","100nF","C_0603_1608Metric",67.500000,-52.000000,0.000000,top
"C17","10uF","C_0805_2012Metric",8.000000,-50.500000,0.000000,top
"C18","10uF","C_0805_2012Metric",11.500000,-50.500000,0.000000,top
"C19","100nF","C_0603_1608Metric",16.000000,-41.500000,0.000000,top
"C20","18pF","C_0603_1608Metric",68.500000,-26.500000,0.000000,top
"C21","18pF","C_0603_1608Metric",68.500000,-39.000000,0.000000,top
"D1","SMBJ100CA","D_SMB",38.000000,-50.500000,0.000000,top
"F1","1A polyfuse","Fuse_1812_4532Metric",55.000000,-12.500000,0.000000,top
"J1","RJ11-6P4C","RJ14_Connfly_DS1133-S4_Horizontal",25.000000,-47.000000,-90.000000,top
"J2","USB-C 16pin","USB_C_Receptacle_HRO_TYPE-C-31-M-12",55.000000,-5.800000,0.000000,top
"J3","KS0835F socket","PinSocket_1x11_P2.54mm_Horizontal",29.300000,-24.000000,90.000000,top
"L1","2.2uH","L_1210_3225Metric",63.500000,-16.500000,0.000000,top
"R1","5.1k","R_0603_1608Metric",47.000000,-19.800000,0.000000,top
"R2","5.1k","R_0603_1608Metric",62.000000,-13.000000,0.000000,top
"R4","100R","R_0603_1608Metric",21.800000,-39.300000,0.000000,top
"R6","10k","R_0603_1608Metric",32.000000,-37.000000,0.000000,top
"R7","100k","R_0603_1608Metric",40.000000,-37.000000,0.000000,top
"R8","100k","R_0603_1608Metric",44.000000,-37.000000,0.000000,top
"R10","10k","R_0603_1608Metric",50.000000,-20.000000,0.000000,top
"R11","15k","R_0603_1608Metric",53.500000,-20.000000,0.000000,top
"R12","300k","R_0603_1608Metric",48.000000,-37.000000,0.000000,top
"R13","330R","R_0603_1608Metric",52.000000,-51.000000,0.000000,top
"R14","10k","R_0603_1608Metric",6.000000,-28.000000,90.000000,top
"R15","100k","R_0603_1608Metric",54.000000,-18.000000,0.000000,top
"R16","22k","R_0603_1608Metric",57.500000,-19.500000,0.000000,top
"RP1","4.7k","R_0603_1608Metric",10.000000,-30.000000,0.000000,top
"RP2","4.7k","R_0603_1608Metric",10.000000,-33.000000,0.000000,top
"SW1","EN","SW_SPST_TL3342",6.500000,-46.000000,0.000000,top
"SW2","BOOT","SW_SPST_TL3342",70.000000,-3.700000,0.000000,top
"U1","ESP32-S3-WROOM-1-N8R2","ESP32-S3-WROOM-1",16.000000,-12.400000,0.000000,top
"U2","ES8388","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",14.000000,-46.000000,0.000000,top
"U3","HT9170D","SOIC-18W_7.5x11.6mm_P1.27mm",60.500000,-44.500000,90.000000,top
"U4","SY8089AAAC","SOT-23-5",58.500000,-17.000000,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",47.000000,-15.500000,0.000000,top
"X1","3.579545MHz","Crystal_SMD_HC49-SD",73.000000,-33.000000,90.000000,top
"Y1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",60.000000,-52.000000,180.000000,top
